Timestamp,Load_kW,ESS_Supply_kW,HFS_Supply_kW,Grid_Supply_kW,Grid_Price_$_per_kWh,ESS_SOC_%,HFS_SOF_%,Grid_Energy_kWh,Grid_Cost_$,Status
2025-03-15 09:00:00,21.814294034777955,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-15 09:00:00] Normal: RES covers 21.81 kW + 26.96 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 09:30:00,20.60237710263775,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-15 09:30:00] Normal: RES covers 20.60 kW + 36.01 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 10:00:00,22.634576407137583,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-15 10:00:00] Normal: RES covers 22.63 kW + 46.01 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 10:30:00,23.239055279528472,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-15 10:30:00] Normal: RES covers 23.24 kW + 40.18 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 11:00:00,23.03989319187277,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-15 11:00:00] Normal: RES covers 23.04 kW + 44.07 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 11:30:00,21.880507633476945,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-15 11:30:00] Normal: RES covers 21.88 kW + 45.34 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 12:00:00,23.10145746814011,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-15 12:00:00] Normal: RES covers 23.10 kW + 45.43 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 12:30:00,22.305547164980354,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-15 12:30:00] Normal: RES covers 22.31 kW + 43.58 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 13:00:00,21.874008773526434,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-15 13:00:00] Normal: RES covers 21.87 kW + 40.34 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 13:30:00,24.415218447143886,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-15 13:30:00] Normal: RES covers 24.42 kW + 41.90 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
