Timestamp,Hour_00,Hour_01,Hour_02,Hour_03,Hour_04,Hour_05,Hour_06,Hour_07,Hour_08,Hour_09,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
2024-07-07,134.311770,135.767236,133.688666,133.763110,133.227671,132.319979,143.239761,149.960059,165.856876,155.755420,157.751938,160.190041,156.140061,154.981274,154.857261,160.118272,157.842561,160.430247,167.046189,163.326029,161.039782,153.318253,144.684666,143.914479
2024-07-08,138.305892,134.441532,137.213971,133.306174,130.774480,137.403542,146.149992,160.351558,179.817650,170.686670,167.820338,173.381959,176.224495,170.864556,169.927056,170.643607,171.233449,178.075340,182.803423,176.106114,179.856873,162.328884,153.432034,151.089869
2024-07-09,136.292234,130.653935,132.398021,132.293928,134.409348,133.468006,151.319798,159.875369,183.361350,175.784360,171.736884,173.521099,178.378196,169.794338,168.798069,175.437824,178.338177,180.213743,185.941781,177.661271,176.759981,162.480304,158.487872,152.257397
2024-07-10,132.017648,131.193670,134.446766,131.696494,130.964160,131.039035,142.367732,147.660969,148.600951,147.643989,147.342262,148.111649,144.376971,145.248018,145.987261,147.095069,147.971407,154.359387,154.527724,149.677243,148.462791,140.994865,138.659662,141.544081
2024-07-11,135.945642,130.839351,134.122417,130.686370,130.792313,134.666269,148.335362,158.891919,173.410404,165.511950,165.527168,168.430988,165.206821,164.431098,163.098509,165.277893,165.905174,170.842076,176.994715,164.979060,172.166837,155.352819,149.464164,147.607786
2024-07-12,131.966502,132.988175,129.710986,133.788161,132.597987,132.728122,142.189112,143.526952,153.723584,145.245858,145.333441,146.336794,148.180661,143.204018,142.565567,143.456729,148.364182,146.112637,149.685273,149.520737,147.931741,139.860685,139.466886,137.044252
2024-07-13,133.821880,131.987596,134.573831,133.024531,135.389570,137.077265,153.632383,166.986393,188.393113,182.247181,178.104198,182.649042,177.015206,176.252209,172.078114,178.493144,183.634147,188.437170,191.979255,179.670780,186.250946,167.214214,157.869019,151.085424
2024-07-14,130.729073,126.885038,128.306931,128.807107,128.251397,127.978625,137.082567,140.657655,144.052676,138.227089,140.094606,138.331524,141.455541,142.069633,136.852477,139.346126,141.734237,143.724256,146.154033,143.854994,140.754725,135.701091,133.683362,135.138264
2024-07-15,133.891214,130.434995,133.233347,131.299353,134.301495,133.176731,147.002230,149.376141,162.345198,150.663305,152.873661,152.348759,152.426492,154.197120,149.008539,150.925588,154.222869,160.874650,159.555584,154.600376,158.908302,148.156380,143.578176,142.853566
2024-07-16,136.239678,137.298738,132.863715,134.767140,133.110223,136.262457,153.972696,158.942568,189.685784,180.293766,175.458807,177.710005,180.952586,175.714217,175.392157,177.360855,179.770497,181.791669,188.590620,185.283352,179.290082,162.132354,156.641000,149.989455
2024-07-17,136.997638,135.197017,133.270540,136.668726,134.484865,138.041302,154.343514,163.475343,184.989740,180.609047,173.763903,178.270752,179.026196,173.687556,172.143552,181.281715,179.273381,178.696907,183.100073,180.772904,176.931783,165.615269,157.676472,150.555286
2024-07-18,132.815024,131.337396,132.048245,136.865214,129.080927,136.413157,148.468852,145.838792,160.825328,158.295232,159.552457,157.686448,157.663866,154.948620,155.137098,157.937006,159.803535,160.083074,168.932698,163.693213,161.383349,150.759103,147.230423,146.195646
2024-07-19,135.074644,132.131473,134.371003,135.635241,132.840418,133.424401,148.384760,149.284344,162.321061,156.970926,154.975872,155.125476,157.328998,155.922745,150.905169,157.352050,157.419666,156.562133,162.995174,160.233641,156.021073,148.675209,147.447521,142.743218
2024-07-20,133.767677,132.361755,130.965579,132.144321,133.364982,130.053933,144.081050,141.532657,145.156925,141.112554,142.372363,144.329509,139.821978,139.658648,141.019830,144.031362,144.361679,143.587179,148.488550,147.196314,146.483530,138.293537,136.843164,135.578439
2024-07-21,138.993654,135.025033,134.180777,136.579136,136.130617,142.481264,148.684179,162.234426,182.604068,173.410372,170.580033,173.342600,169.776166,172.235126,169.171761,172.053836,175.069675,176.731698,179.423925,178.143664,178.596169,164.108697,154.748650,151.825589
2024-07-22,136.800955,132.352634,135.617214,130.722731,133.538420,139.853959,156.778293,159.293054,191.658286,179.932997,178.526830,185.911476,182.606016,174.747606,174.218898,181.593845,180.872666,188.606467,198.667654,180.126283,188.371401,168.579975,159.438567,153.201939
2024-07-23,135.363448,134.260508,134.743355,131.344946,130.866306,139.160690,146.412660,159.284260,175.561092,170.461705,169.385700,176.148653,171.683827,167.103650,169.275105,176.549607,176.142743,179.973199,185.056515,174.876566,172.535262,161.262497,152.099758,147.154321
2024-07-24,132.762969,130.198870,132.718641,134.675027,131.792980,135.733505,148.143759,154.645947,170.226351,165.804005,165.905704,167.014019,165.226507,163.653315,160.069072,162.948144,166.084034,168.282345,173.715174,173.998444,168.141649,156.435488,149.994718,147.517235
2024-07-25,136.937107,134.012861,133.811640,133.033141,130.965050,137.093305,149.030562,151.941608,170.004908,163.663339,162.450847,162.964253,163.521008,163.024073,161.416313,164.873385,162.905661,167.017537,173.437738,169.615037,168.491348,153.646753,152.220706,144.343158
2024-07-26,136.019124,135.049435,135.132066,135.253883,133.596297,132.440706,145.201228,152.858492,158.777199,157.532631,155.477759,160.549064,161.304576,159.369087,153.743047,157.794139,161.193619,160.903363,163.186224,163.026027,160.022700,153.494884,147.504667,146.814526
2024-07-27,132.942843,132.992792,130.018265,134.811524,134.627504,133.786590,147.215869,151.428824,168.043128,158.643997,157.377151,158.569097,155.661075,155.786366,153.369378,160.375935,157.163162,165.291774,165.386090,165.867415,160.055021,150.352953,144.483067,145.561806
2024-07-28,134.299751,133.299558,132.882473,129.563513,130.896114,133.686201,147.058309,149.173659,159.593193,152.426026,156.954675,157.797324,154.740050,152.148178,153.865822,156.570916,153.166700,161.498755,165.319522,155.153780,159.814131,148.649687,143.036331,143.843451
2024-07-29,134.353738,137.065567,131.946198,134.520126,133.315232,136.118267,152.286318,151.374104,166.881365,159.625488,160.868816,165.070625,164.732118,160.277752,161.911357,163.088593,164.776244,165.807358,170.186627,161.270591,169.784910,150.495397,152.228861,145.640204
